iter	Passed	Remaining
219	2290	4998
220	2301	4989
221	2311	4977
222	2322	4967
223	2329	4950
224	2340	4942
225	2353	4936
226	2367	4932
227	2376	4919
228	2385	4905
229	2394	4893
230	2404	4881
231	2411	4865
232	2425	4861
233	2435	4850
234	2446	4841
235	2452	4822
236	2463	4813
237	2474	4803
238	2483	4790
239	2496	4785
240	2505	4771
241	2514	4758
242	2523	4745
243	2531	4731
244	2540	4717
245	2548	4702
246	2556	4688
247	2565	4676
248	2574	4662
249	2580	4644
250	2590	4633
251	2597	4618
252	2605	4603
253	2614	4590
254	2624	4580
255	2634	4568
256	2641	4553
257	2650	4540
258	2658	4526
259	2667	4514
260	2678	4505
261	2692	4501
262	2701	4488
263	2712	4479
264	2718	4462
265	2726	4448
266	2735	4437
267	2748	4429
268	2759	4421
269	2768	4409
270	2776	4395
271	2790	4390
272	2800	4379
273	2809	4368
274	2816	4352
275	2824	4339
276	2832	4324
277	2841	4314
278	2851	4303
279	2858	4287
280	2868	4277
281	2874	4260
282	2882	4247
283	2890	4233
284	2897	4219
285	2905	4205
286	2913	4192
287	2921	4179
288	2945	4188
289	2952	4174
290	2960	4161
291	2969	4148
292	2977	4136
293	2986	4124
294	2996	4113
295	3003	4100
296	3013	4089
297	3026	4082
298	3036	4072
299	3047	4063
300	3056	4051
301	3068	4043
302	3078	4032
303	3093	4029
304	3106	4023
305	3112	4007
306	3119	3993
307	3131	3985
308	3141	3974
309	3147	3960
310	3154	3945
311	3162	3933
312	3171	3921
313	3180	3909
314	3187	3896
315	3195	3883
316	3203	3870
317	3213	3860
318	3221	3848
319	3239	3847
320	3248	3835
321	3259	3825
322	3272	3819
323	3281	3808
324	3287	3793
325	3295	3780
326	3302	3766
327	3308	3752
328	3313	3736
329	3319	3722
330	3326	3708
331	3332	3694
332	3339	3680
333	3347	3667
334	3357	3658
335	3365	3646
336	3372	3632
337	3378	3618
338	3386	3605
339	3424	3626
340	3456	3639
341	3480	3643
342	3487	3630
343	3494	3616
344	3512	3614
345	3523	3605
346	3533	3594
347	3544	3585
348	3551	3572
349	3558	3558
350	3576	3556
351	3584	3544
352	3593	3532
353	3602	3521
354	3610	3508
355	3618	3496
356	3626	3484
357	3635	3472
358	3645	3462
359	3657	3454
360	3665	3441
361	3676	3432
362	3687	3423
363	3694	3409
364	3702	3398
365	3713	3388
366	3720	3375
367	3725	3361
368	3734	3349
369	3743	3338
370	3756	3330
371	3763	3318
372	3771	3306
373	3779	3294
374	3787	3282
375	3793	3268
376	3799	3255
377	3806	3242
378	3816	3232
379	3821	3218
380	3829	3206
381	3838	3195
382	3844	3181
383	3849	3167
384	3855	3154
385	3865	3144
386	3873	3133
387	3882	3121
388	3888	3108
389	3898	3099
390	3906	3086
391	3910	3072
392	3917	3060
393	3926	3049
394	3934	3038
395	3945	3028
396	3953	3017
397	3960	3005
398	3970	2995
399	3980	2985
400	3990	2975
401	4000	2965
402	4011	2956
403	4022	2946
404	4037	2940
405	4048	2931
406	4063	2925
407	4073	2915
408	4090	2910
